Time,NtpTimeStamp,LocalTimeStamp,Delta
Thu Jun 10 15:32:45 2021,1623349965.9219308,1623349965.9405315,-0.0186007022857666
Thu Jun 10 15:32:46 2021,1623349966.9219308,1623349966.9426324,-0.02070164680480957
Thu Jun 10 15:32:47 2021,1623349967.9219308,1623349967.9450078,-0.023077011108398438
Thu Jun 10 15:32:48 2021,1623349968.9219308,1623349968.947175,-0.02524423599243164
Thu Jun 10 15:32:49 2021,1623349969.9219308,1623349969.9480894,-0.026158571243286133
Thu Jun 10 15:32:50 2021,1623349970.9219308,1623349970.9488506,-0.026919841766357422
Thu Jun 10 15:32:51 2021,1623349971.9219308,1623349971.9508023,-0.028871536254882812
Thu Jun 10 15:32:52 2021,1623349972.9219308,1623349972.9520943,-0.03016352653503418
Thu Jun 10 15:32:53 2021,1623349973.9219308,1623349973.9541595,-0.032228708267211914
Thu Jun 10 15:32:54 2021,1623349974.9219308,1623349974.955926,-0.03399515151977539
Thu Jun 10 15:32:55 2021,1623349975.9219308,1623349975.9574077,-0.0354769229888916
Thu Jun 10 15:32:56 2021,1623349976.9219308,1623349976.9590762,-0.037145376205444336
Thu Jun 10 15:32:57 2021,1623349977.9219308,1623349977.9609876,-0.03905677795410156
Thu Jun 10 15:32:58 2021,1623349978.9219308,1623349978.9628968,-0.040966033935546875
Thu Jun 10 15:32:59 2021,1623349979.9219308,1623349979.9643934,-0.04246258735656738
Thu Jun 10 15:33:00 2021,1623349980.9219308,1623349980.9663234,-0.04439258575439453
Thu Jun 10 15:33:00 2021,1623349980.990006,1623349980.9999697,-0.009963750839233398
Thu Jun 10 15:33:01 2021,1623349981.990006,1623349982.0091414,-0.019135475158691406
Thu Jun 10 15:33:02 2021,1623349982.990006,1623349983.0132372,-0.02323126792907715
Thu Jun 10 15:33:03 2021,1623349983.990006,1623349984.0165122,-0.02650618553161621
Thu Jun 10 15:33:04 2021,1623349984.990006,1623349985.0200143,-0.030008316040039062
Thu Jun 10 15:33:05 2021,1623349985.990006,1623349986.0214076,-0.031401634216308594
Thu Jun 10 15:33:06 2021,1623349986.990006,1623349987.023899,-0.03389310836791992
Thu Jun 10 15:33:07 2021,1623349987.990006,1623349988.0269318,-0.0369257926940918
Thu Jun 10 15:33:08 2021,1623349988.990006,1623349989.0296137,-0.03960776329040527
Thu Jun 10 15:33:09 2021,1623349989.990006,1623349990.0308895,-0.040883541107177734
Thu Jun 10 15:33:10 2021,1623349990.990006,1623349991.0327086,-0.042702674865722656
Thu Jun 10 15:33:11 2021,1623349991.990006,1623349992.034841,-0.04483509063720703
Thu Jun 10 15:33:12 2021,1623349992.990006,1623349993.0374398,-0.04743385314941406
Thu Jun 10 15:33:13 2021,1623349993.990006,1623349994.0395217,-0.049515724182128906
Thu Jun 10 15:33:14 2021,1623349994.990006,1623349995.0412915,-0.051285505294799805
Thu Jun 10 15:33:15 2021,1623349995.990006,1623349996.0443428,-0.0543367862701416
Thu Jun 10 15:33:16 2021,1623349996.068317,1623349996.0778131,-0.009496212005615234
Thu Jun 10 15:33:17 2021,1623349997.068317,1623349997.0805225,-0.01220560073852539
Thu Jun 10 15:33:18 2021,1623349998.068317,1623349998.0835643,-0.015247344970703125
Thu Jun 10 15:33:19 2021,1623349999.068317,1623349999.0850925,-0.01677560806274414
Thu Jun 10 15:33:20 2021,1623350000.068317,1623350000.0863116,-0.01799464225769043
Thu Jun 10 15:33:21 2021,1623350001.068317,1623350001.0882347,-0.019917726516723633
Thu Jun 10 15:33:22 2021,1623350002.068317,1623350002.0905604,-0.022243499755859375
Thu Jun 10 15:33:23 2021,1623350003.068317,1623350003.0931673,-0.02485036849975586
Thu Jun 10 15:33:24 2021,1623350004.068317,1623350004.0961723,-0.027855396270751953
Thu Jun 10 15:33:25 2021,1623350005.068317,1623350005.0984147,-0.03009772300720215
Thu Jun 10 15:33:26 2021,1623350006.068317,1623350006.1011183,-0.03280138969421387
Thu Jun 10 15:33:27 2021,1623350007.068317,1623350007.1042569,-0.035939931869506836
Thu Jun 10 15:33:28 2021,1623350008.068317,1623350008.1068165,-0.03849959373474121
Thu Jun 10 15:33:29 2021,1623350009.068317,1623350009.109801,-0.04148411750793457
Thu Jun 10 15:33:30 2021,1623350010.068317,1623350010.1129217,-0.04460477828979492
Thu Jun 10 15:33:31 2021,1623350011.068317,1623350011.114701,-0.04638409614562988
Thu Jun 10 15:33:31 2021,1623350011.1336884,1623350011.1428423,-0.00915384292602539
Thu Jun 10 15:33:32 2021,1623350012.1336884,1623350012.1449244,-0.011235952377319336
Thu Jun 10 15:33:33 2021,1623350013.1336884,1623350013.1484835,-0.014795064926147461
Thu Jun 10 15:33:34 2021,1623350014.1336884,1623350014.1514602,-0.01777172088623047
Thu Jun 10 15:33:35 2021,1623350015.1336884,1623350015.1544151,-0.020726680755615234
Thu Jun 10 15:33:36 2021,1623350016.1336884,1623350016.1583254,-0.02463698387145996
Thu Jun 10 15:33:37 2021,1623350017.1336884,1623350017.160326,-0.026637554168701172
Thu Jun 10 15:33:38 2021,1623350018.1336884,1623350018.1622193,-0.02853083610534668
Thu Jun 10 15:33:39 2021,1623350019.1336884,1623350019.1641138,-0.030425310134887695
Thu Jun 10 15:33:40 2021,1623350020.1336884,1623350020.1663206,-0.03263211250305176
Thu Jun 10 15:33:41 2021,1623350021.1336884,1623350021.1688333,-0.035144805908203125
Thu Jun 10 15:33:42 2021,1623350022.1336884,1623350022.1706018,-0.036913394927978516
Thu Jun 10 15:33:43 2021,1623350023.1336884,1623350023.171274,-0.03758549690246582
Thu Jun 10 15:33:44 2021,1623350024.1336884,1623350024.1738384,-0.04014992713928223
Thu Jun 10 15:33:45 2021,1623350025.1336884,1623350025.1763265,-0.04263806343078613
Thu Jun 10 15:33:46 2021,1623350026.1336884,1623350026.1839166,-0.050228118896484375
Thu Jun 10 15:33:46 2021,1623350026.229033,1623350026.2413306,-0.012297630310058594
Thu Jun 10 15:33:47 2021,1623350027.229033,1623350027.2468195,-0.017786502838134766
Thu Jun 10 15:33:48 2021,1623350028.229033,1623350028.2485826,-0.01954960823059082
Thu Jun 10 15:33:49 2021,1623350029.229033,1623350029.2505167,-0.021483659744262695
Thu Jun 10 15:33:50 2021,1623350030.229033,1623350030.252718,-0.023684978485107422
Thu Jun 10 15:33:51 2021,1623350031.229033,1623350031.2543287,-0.025295734405517578
Thu Jun 10 15:33:52 2021,1623350032.229033,1623350032.2560978,-0.027064800262451172
Thu Jun 10 15:33:53 2021,1623350033.229033,1623350033.2578776,-0.028844594955444336
Thu Jun 10 15:33:54 2021,1623350034.229033,1623350034.2602406,-0.031207561492919922
Thu Jun 10 15:33:55 2021,1623350035.229033,1623350035.2627134,-0.03368043899536133
Thu Jun 10 15:33:56 2021,1623350036.229033,1623350036.2650871,-0.036054134368896484
Thu Jun 10 15:33:57 2021,1623350037.229033,1623350037.2669814,-0.0379483699798584
Thu Jun 10 15:33:58 2021,1623350038.229033,1623350038.2695954,-0.04056239128112793
Thu Jun 10 15:33:59 2021,1623350039.229033,1623350039.2741961,-0.04516315460205078
Thu Jun 10 15:34:00 2021,1623350040.229033,1623350040.276071,-0.04703807830810547
Thu Jun 10 15:34:01 2021,1623350041.229033,1623350041.2777755,-0.04874253273010254
Thu Jun 10 15:34:01 2021,1623350041.2975545,1623350041.3154316,-0.01787710189819336
Thu Jun 10 15:34:02 2021,1623350042.2975545,1623350042.318078,-0.020523548126220703
Thu Jun 10 15:34:03 2021,1623350043.2975545,1623350043.3210027,-0.02344822883605957
Thu Jun 10 15:34:04 2021,1623350044.2975545,1623350044.3239734,-0.02641892433166504
Thu Jun 10 15:34:05 2021,1623350045.2975545,1623350045.3270028,-0.029448270797729492
Thu Jun 10 15:34:06 2021,1623350046.2975545,1623350046.3285193,-0.03096485137939453
Thu Jun 10 15:34:07 2021,1623350047.2975545,1623350047.3306928,-0.033138275146484375
Thu Jun 10 15:34:08 2021,1623350048.2975545,1623350048.3317041,-0.0341496467590332
Thu Jun 10 15:34:09 2021,1623350049.2975545,1623350049.3346179,-0.0370633602142334
Thu Jun 10 15:34:10 2021,1623350050.2975545,1623350050.3362558,-0.03870129585266113
Thu Jun 10 15:34:11 2021,1623350051.2975545,1623350051.338397,-0.040842533111572266
Thu Jun 10 15:34:12 2021,1623350052.2975545,1623350052.339946,-0.04239153861999512
Thu Jun 10 15:34:13 2021,1623350053.2975545,1623350053.3419297,-0.04437518119812012
Thu Jun 10 15:34:14 2021,1623350054.2975545,1623350054.3454103,-0.04785585403442383
Thu Jun 10 15:34:15 2021,1623350055.2975545,1623350055.3491495,-0.05159497261047363
Thu Jun 10 15:34:16 2021,1623350056.2975545,1623350056.3518808,-0.05432629585266113
Thu Jun 10 15:34:16 2021,1623350056.3788757,1623350056.3918462,-0.012970447540283203
Thu Jun 10 15:34:17 2021,1623350057.3788757,1623350057.394358,-0.015482187271118164
Thu Jun 10 15:34:18 2021,1623350058.3788757,1623350058.395384,-0.01650834083557129
Thu Jun 10 15:34:19 2021,1623350059.3788757,1623350059.3986464,-0.01977062225341797
Thu Jun 10 15:34:20 2021,1623350060.3788757,1623350060.4011917,-0.02231597900390625
Thu Jun 10 15:34:21 2021,1623350061.3788757,1623350061.4029438,-0.024068117141723633
Thu Jun 10 15:34:22 2021,1623350062.3788757,1623350062.405282,-0.026406288146972656
